field_1,Lat.y.y,Long.y.y,Community1,Region,District,Community,Village_HH,Village_ODFHist,Village_GC,rvalue_1
2000,0.0815553,8.672439,NA,Northern,Nanumba South,Gmatindo,6,0,R,1
2001,-0.085301667,8.681783,NA,Northern,Nanumba South,Japongido,48,0,R,1
2003,-0.0798254,8.627507,Sunkuli,Northern,Nanumba South,Jatodo,31,1,U,1
2005,0.077305,8.85857,,Northern,Nanumba South,Jilo ,67,0,U,3
2008,-0.0025833,8.604835,Sunkuli,Northern,Nanumba South,Kanjoti (Bigdendo),29,0,U,3
2009,0.020803333,8.893957,,Northern,Nanumba South,Kpabi,173,0,U,3
2011,-0.025073333,8.683453,NA,Northern,Nanumba South,Kpansu Number 1,10,0,R,3
2012,-0.036738333,8.700232,NA,Northern,Nanumba South,Kpansu Number 2,18,0,R,3
2013,-0.017125224,8.867584,,Northern,Nanumba South,Kpaturi,57,0,U,3
2014,0.067123333,8.623963,NA,Northern,Nanumba South,Kpayansi,17,0,R,3
2015,-0.087990167,8.707318,Kumbo,Northern,Nanumba South,Kubuabu No. 1,18,0,U,1
2016,-0.086596434,8.702759,Kumbo,Northern,Nanumba South,Kubuabu No. 2,12,0,U,1
2017,-0.086079946,8.702558,Kumbo,Northern,Nanumba South,Kubuabu No.2,10,1,U,1
2018,0.03555289,8.80646,NA,Northern,Nanumba South,Kubuabu Number 3,9,0,R,1
2020,-0.07996,8.65255,NA,Northern,Nanumba South,Kumboni,23,1,R,1
2022,0.03516,8.55233,Sunkuli,Northern,Nanumba South,Leseindo,15,1,U,1
2023,-0.117925,8.652685,NA,Northern,Nanumba South,Liful 1,16.5,1,R,1
2024,0.0056,8.5557,Sunkuli,Northern,Nanumba South,Lungni,826,0,U,3
2026,0.10798659,8.781688,NA,Northern,Nanumba South,Mempeasem,28,1,R,3
2027,0.270091432,8.817534,Nakpali/Kworoli,Northern,Nanumba South,Mempiasem,15,0,U,1
2028,0.0881933,8.627174,NA,Northern,Nanumba South,Mojado,7,0,R,1
2030,0.0538,8.7555,Nachamba,Northern,Nanumba South,Nakpayili,325,0,U,3
2031,0.05983252,8.795002,NA,Northern,Nanumba South,Nassamba,44.5,0,R,3
2032,0.022393333,8.688073,NA,Northern,Nanumba South,Nayinting,9.5,1,R,3
2033,-0.116403333,8.643722,,Northern,Nanumba South,Nbondo,18,0,U,1
2034,-0.001509155,8.597451,NA,Northern,Nanumba South,Nchia,11,1,R,3
2036,0.0727333,8.714395,Dachamba,Northern,Nanumba South,Nmonchani No. 2,29,1,U,3
2037,-0.10536,8.560538,NA,Northern,Nanumba South,Nnaldo,13.5,1,R,1
2038,-0.190385,8.596742,NA,Northern,Nanumba South,Nsagnando 1,16,1,R,1
2039,-0.190385,8.596742,NA,Northern,Nanumba South,Nsagnando 2,12,1,R,1
2040,-0.084081667,8.813245,NA,Northern,Nanumba South,Okpanja,19.5,0,R,1
2041,0.022393333,8.688073,NA,Northern,Nanumba South,Paabuni,32,0,R,3
2043,-0.134253333,8.56829,NA,Northern,Nanumba South,Sabontido,10.5,1,R,1
2044,0.1597524,8.906583,Bondalokadihu,Northern,Nanumba South,Tabihini (Bon),16,1,U,2
2045,-0.154787928,8.552585,Kumdi,Northern,Nanumba South,Takanado ,74,0,U,1
2046,-0.05505,8.685623,NA,Northern,Nanumba South,Takrodo,24.5,1,R,1
2047,0.043056667,8.606013,NA,Northern,Nanumba South,Tampoaya,8.5,0,R,3
2048,-0.059508333,8.645952,NA,Northern,Nanumba South,Tinageria,31,1,R,3
2049,-0.0689083,8.641473,Sunkuli,Northern,Nanumba South,Tinageria No. 2,18,1,U,1
2050,0.022393333,8.688073,NA,Northern,Nanumba South,Yadoya,9.5,1,R,3
2051,-0.0071,8.89579,Varibiegu ,Northern,Nanumba South,Zablaya ,47,1,U,3
2052,-1.50767,9.52547,NA,Northern,North Gonja,Anyanto,11,1,R,2
2053,-1.63331,9.54374,NA,Northern,North Gonja,Banawa East,7.5,0,R,2
2054,-1.63331,9.54374,NA,Northern,North Gonja,Banawa West,7,0,R,2
2055,-1.39733,9.60593,NA,Northern,North Gonja,Disah West,5,0,R,2
2056,-1.4686,9.62451,NA,Northern,North Gonja,Donkonpe,10,0,R,1
2057,-1.53322,9.74416,NA,Northern,North Gonja,Grubagu,10,0,R,1
2058,-1.29654,9.44895,NA,Northern,North Gonja,Gua,19.5,0,R,1
2059,-1.29654,9.44895,NA,Northern,North Gonja,Gua Fc,19,1,R,1
2060,-1.59945,9.54249,NA,Northern,North Gonja,Jinforanu,11,0,R,2
2061,-1.63736,9.43571,NA,Northern,North Gonja,Kaden,6,0,R,2
2062,-1.30346,9.51288,NA,Northern,North Gonja,Kagbal,37,0,R,2
2063,-1.27008,9.3548,NA,Northern,North Gonja,Kito,33,1,R,1
2064,-1.60621,9.50943,NA,Northern,North Gonja,Kplumbo,5.5,0,R,2
2065,-1.48093,9.45493,NA,Northern,North Gonja,Kupoto,8,0,R,2
2067,-1.269,9.3237,NA,Northern,North Gonja,Semisi,5,1,R,1
2068,-1.269,9.3237,NA,Northern,North Gonja,Semisi b,7,1,R,1
2069,-1.51461,9.37172,NA,Northern,North Gonja,Tacheli,5.5,0,R,2
2073,0.362079216,9.599122,NA,Northern,Saboba,Bilobi,8.5,1,R,1
2074,0.341957303,9.586872,NA,Northern,Saboba,Binanjeeb,14,0,R,1
2076,0.21423518,9.682686,NA,Northern,Saboba,Bisaldo,6,1,R,1
2077,0.187046754,9.543846,NA,Northern,Saboba,Boado,6.5,1,R,1
2080,0.292598532,9.629799,Kpalba,Northern,Saboba,Buton,22,1,U,1
2081,0.23097,9.56974,Kpalba,Northern,Saboba,Chagbani,30,1,U,2
2084,0.151164967,9.658643,Wapuli,Northern,Saboba,Chambong,22,1,U,1
2085,0.204968333,9.492703,NA,Northern,Saboba,Demong 1,6.5,0,R,2
2086,0.204968333,9.492703,NA,Northern,Saboba,Demong 2,27,0,R,2
2087,0.310549179,9.689863,Saboba,Northern,Saboba,Dicheen,23,1,U,1
2088,0.262861667,9.662717,Kpalba,Northern,Saboba,Garimata,47,1,U,2
2089,0.262861667,9.662717,Kpalba,Northern,Saboba,Garimata Battor,22,1,U,2
2090,0.200663489,9.606791,NA,Northern,Saboba,Gbain,16.5,0,R,1
2091,0.304357617,9.849188,NA,Northern,Saboba,Gbangbapong,37.5,0,R,2
2092,0.161,9.711,Wapuli,Northern,Saboba,Gbenjak,31,1,U,2
2093,0.18896998,9.508745,NA,Northern,Saboba,Gnalajado,26,0,R,1
2094,0.161381647,9.730995,NA,Northern,Saboba,Ikpani,5.5,1,R,1
2095,0.308461105,9.816763,NA,Northern,Saboba,Inabuni,15.5,0,R,2
2098,0.214230171,9.490846,NA,Northern,Saboba,Jakpel,5,1,R,2
2101,-0.02167365,9.754738,,Northern,Saboba,Jilma No.1,42,1,U,1
2104,0.234653188,9.543888,Kpalba,Northern,Saboba,Kpalba Battor,24,1,U,2
2106,0.117741658,9.914267,NA,Northern,Saboba,Kpatinga,9.5,1,R,1
2108,0.177573161,9.577756,NA,Northern,Saboba,Kubuni,9,1,R,1
2110,0.242176667,9.501378,NA,Northern,Saboba,Kulubunu,6,1,R,1
2115,0.280980003,9.805407,NA,Northern,Saboba,Labaldo,31,0,R,1
2116,0.164718333,9.573297,NA,Northern,Saboba,Latido,6.5,1,R,1
2117,0.052778333,9.85653,NA,Northern,Saboba,Liful 2,18,1,R,1
2118,0.230684881,9.550675,Kpalba,Northern,Saboba,Lower Kpalba,17,0,U,2
2119,0.229196549,9.809695,NA,Northern,Saboba,Mabido,6,1,R,1
2121,0.2477206,9.637598,NA,Northern,Saboba,n-Nalog,16,1,R,2
2122,0.353159449,9.604696,NA,Northern,Saboba,Naakpal,20,0,R,1
2125,0.30602,9.79018,Saboba,Northern,Saboba,Nachang,25,1,U,2
2126,0.212928333,9.710045,NA,Northern,Saboba,Nachayini,10,0,R,2
2127,0.186968014,9.542096,NA,Northern,Saboba,Najakpon,6.5,0,R,1
2128,0.15908,9.595827,NA,Northern,Saboba,Nakolb,5.5,1,R,1
2130,0.324486177,9.896553,NA,Northern,Saboba,Nambiri,12,0,R,2
2131,0.1961,9.4399,Demon,Northern,Saboba,Namongbani,35,1,U,1
2134,0.3442,9.58643,Saboba,Northern,Saboba,Nankpel Chakosi,38,1,U,1
2135,0.159175903,9.546159,NA,Northern,Saboba,Nanwal,6.5,1,R,1
2137,0.2772,9.6005,Kpalba,Northern,Saboba,Sambuli,241,0,U,1
2140,0.115596711,9.582239,NA,Northern,Saboba,Saton,7.5,1,R,1
2142,0.3038,9.7512,Saboba,Northern,Saboba,Sobiba,30,0,U,2
2144,0.22305,9.46033,Demon,Northern,Saboba,Tanjameili,26,1,U,1
2145,0.29673,9.710903,NA,Northern,Saboba,Tigen,5.5,0,R,2
2146,0.175268333,9.711743,NA,Northern,Saboba,Tindando,13.5,1,R,2
2147,0.30766,9.70653,Saboba,Northern,Saboba,Toma,131,0,U,2
2148,0.139197577,9.644541,NA,Northern,Saboba,Topin,14,1,R,1
2150,0.13588,9.588622,NA,Northern,Saboba,Wadik,30,1,R,1
2151,0.16022,9.821548,NA,Northern,Saboba,Wajor 1,5,0,R,2
2152,0.1072,9.735,Wapuli,Northern,Saboba,Wapuli,263,0,U,2
2153,0.247173333,9.659955,NA,Northern,Saboba,Wayub,10,1,R,2
2154,0.195596667,9.524715,NA,Northern,Saboba,Yakpaba,9,0,R,1
2157,0.150803068,9.889852,NA,Northern,Saboba,Zogbeli,13.5,0,R,2
2158,-0.8605478,9.50622,NA,Northern,Sagnerigu,Batanyili,8.5,1,R,3
2159,-0.86067,9.43041,Choggu,Northern,Sagnerigu,Choggu-Yili,1004,0,U,3
2160,-0.839,9.4398,Kalpohini,Northern,Sagnerigu,Gumani North,1344,0,U,3
2161,-0.8646,9.4547,Choggu,Northern,Sagnerigu,Gurugu Yapala,907,0,U,3
2162,-0.8514,9.4496,Kanvilli,Northern,Sagnerigu,Jisonaa-Yili,1450,0,U,3
2163,-0.83282,9.44818,Kanvilli,Northern,Sagnerigu,Kanvili Tuonaa Yili,708,0,U,3
2164,-0.9495336,9.425597,NA,Northern,Sagnerigu,Kpinjinga,14,1,R,3
2165,-0.889586401,9.541495,Kumbungu,Northern,Sagnerigu,Kpulnying,87,0,U,3
2166,-0.8334,9.4237,Kalpohini,Northern,Sagnerigu,Nyashegu,619,0,U,3
2167,-0.846415,9.468797,NA,Northern,Sagnerigu,Sakpege 1,18,0,R,3
2168,-0.846415,9.468797,NA,Northern,Sagnerigu,Sakpege 2,18,0,R,3
2169,-0.846415,9.468797,NA,Northern,Sagnerigu,Sambig,6,1,R,3
2170,-0.846415,9.468797,NA,Northern,Sagnerigu,Sanbig 2,9,1,R,3
2171,-0.846415,9.468797,NA,Northern,Sagnerigu,Sanjal,6,1,R,3
2172,-0.885,9.4084,Choggu,Northern,Sagnerigu,Shisegu,867,0,U,3
2173,-0.846415,9.468797,NA,Northern,Sagnerigu,Simoli,5,1,R,3
2174,-0.846415,9.468797,NA,Northern,Sagnerigu,Sologu/Surugu,5.5,1,R,3
2175,-0.846415,9.468797,NA,Northern,Sagnerigu,Sougnayili,8.5,1,R,3
2176,-0.7866,9.4356,Kalpohini,Northern,Sagnerigu,Taha,297,0,U,3
2177,-0.835,9.4109,Kalpohini,Northern,Sagnerigu,Ward k,1124,0,U,3
2178,-0.685735308,9.551271,NA,Northern,Savelugu Nanton,Chahiyili,12,1,R,1
2179,-0.78163063,9.626505,NA,Northern,Savelugu Nanton,Damdu,22,1,R,3
2180,-0.6934117,9.492455,NA,Northern,Savelugu Nanton,Dohi,17.5,1,R,2
2181,-0.708486978,9.492905,NA,Northern,Savelugu Nanton,Golori,10.5,1,R,2
2182,-0.78162,9.599738,NA,Northern,Savelugu Nanton,Lagbani,5.5,1,R,3
2183,-0.690695,9.573222,NA,Northern,Savelugu Nanton,Nagdigu,18.5,1,R,2
2184,-0.95473,9.871155,NA,Northern,Savelugu Nanton,Tigbando,9.5,1,R,1
2185,-0.95473,9.871155,NA,Northern,Savelugu Nanton,Tigla,10.5,1,R,1
2186,-0.86065,9.58815,NA,Northern,Savelugu Nanton,Zaazi-Kukuo,5.5,1,R,3
2187,-2.470616,9.721398,NA,Northern,Sawla/Tuna/Kalba,Antuma,21,1,NR,1
2188,-2.503188,9.350973,NA,Northern,Sawla/Tuna/Kalba,Baagon,6,1,NR,1
2189,-2.389995,9.608947,NA,Northern,Sawla/Tuna/Kalba,Babalanyuro Ankara,26,0,NR,1
2190,-2.378346,9.614332,NA,Northern,Sawla/Tuna/Kalba,Babalanyuro Gbunteeng,20,0,NR,1
2191,-2.373212,9.608716,NA,Northern,Sawla/Tuna/Kalba,Babalanyuro Kunkpere,11,0,NR,1
2192,-2.560978,9.456565,NA,Northern,Sawla/Tuna/Kalba,Baboarayiri,27,0,NR,1
2193,-2.652447,9.457308,NA,Northern,Sawla/Tuna/Kalba,Bagbeyiri,14,1,NR,2
2194,-2.56415,9.431206,NA,Northern,Sawla/Tuna/Kalba,Bajuuryire,19,0,NR,1
2195,-2.588262,9.296787,NA,Northern,Sawla/Tuna/Kalba,Bakaayiri,29,1,NR,1
2196,-2.584228,9.51848,NA,Northern,Sawla/Tuna/Kalba,Bakaayiri Kpirigyi,7,0,NR,2
2197,-2.58734,9.516098,NA,Northern,Sawla/Tuna/Kalba,Bakaayiri Tooju,11,1,NR,2
2198,-2.395466,9.421011,NA,Northern,Sawla/Tuna/Kalba,Bale No.2,17,0,NR,1
2199,-2.37506,9.732197,NA,Northern,Sawla/Tuna/Kalba,Banipuo,7,1,NR,1
2200,-2.377952,9.68198,NA,Northern,Sawla/Tuna/Kalba,Basinayiri,32,0,NR,1
2201,-2.557108,9.206952,NA,Northern,Sawla/Tuna/Kalba,Bavinekura,7,1,NR,1
2202,-2.604887,9.315497,NA,Northern,Sawla/Tuna/Kalba,Bawuroyiri,23,1,NR,1
2203,-2.631598,9.313622,NA,Northern,Sawla/Tuna/Kalba,Bebeyiri Baagon,16,1,NR,1
2204,-2.267234,9.727198,NA,Northern,Sawla/Tuna/Kalba,Biani,18,0,NR,1
2205,-2.617979,9.530093,NA,Northern,Sawla/Tuna/Kalba,Bincherkonta,7,0,NR,2
2206,-2.442723,9.355701,NA,Northern,Sawla/Tuna/Kalba,Blema No.1,22,1,NR,2
2207,-2.43656,9.33878,NA,Northern,Sawla/Tuna/Kalba,Blema No.2,24,1,NR,2
2208,-2.45247,9.235833,NA,Northern,Sawla/Tuna/Kalba,Bodi,34,1,NR,2
2209,-2.486461,9.469529,NA,Northern,Sawla/Tuna/Kalba,Boupou Kura,18,0,NR,1
2210,-2.622895,9.416989,NA,Northern,Sawla/Tuna/Kalba,Bugali,32,1,NR,2
2212,-2.63578,9.436849,NA,Northern,Sawla/Tuna/Kalba,Chachayiri,11,1,NR,2
2213,-2.620432,9.363232,NA,Northern,Sawla/Tuna/Kalba,Chakpoyiri,17,1,NR,1
2214,-2.476666,9.305529,NA,Northern,Sawla/Tuna/Kalba,Chanayiri,20,0,NR,1
2215,-2.66428,9.444378,NA,Northern,Sawla/Tuna/Kalba,Cheayiri,19,1,NR,1
2216,-2.65038,9.542993,NA,Northern,Sawla/Tuna/Kalba,Chewele,18,1,NR,2
2217,-2.544257,9.338751,NA,Northern,Sawla/Tuna/Kalba,Chowiteyiri,36,0,NR,2
2218,-2.39891,9.435204,NA,Northern,Sawla/Tuna/Kalba,Daa-Tey Gon,12,0,NR,1
2219,-2.656417,9.395627,NA,Northern,Sawla/Tuna/Kalba,Dabodayiri,13,1,NR,1
2220,-2.533179,9.268757,NA,Northern,Sawla/Tuna/Kalba,Dadanpre,60,0,NR,1
2221,-2.575907,9.341469,NA,Northern,Sawla/Tuna/Kalba,Dagbigu No.1,15,1,NR,2
2222,-2.591199,9.355758,NA,Northern,Sawla/Tuna/Kalba,Dagbigu No.2,17,1,NR,2
2223,-2.333017,9.664147,NA,Northern,Sawla/Tuna/Kalba,Damangoro,43,1,NR,1
2224,-2.5622,9.31158,NA,Northern,Sawla/Tuna/Kalba,Damiyiri,35,1,NR,1
2225,-2.453637,9.396767,NA,Northern,Sawla/Tuna/Kalba,Danivaar Road Side,13,1,NR,2
2226,-2.446641,9.391876,NA,Northern,Sawla/Tuna/Kalba,Danivaari No.1,17,1,NR,2
2227,-2.436842,9.445239,NA,Northern,Sawla/Tuna/Kalba,Daniwuur No.1,22,1,NR,2
2228,-2.426928,9.442488,NA,Northern,Sawla/Tuna/Kalba,Daniwuur No.2,27,0,NR,2
2229,-2.451111,9.33833,NA,Northern,Sawla/Tuna/Kalba,Di-Eriyiri,12,1,NR,1
2230,-2.444681,9.267177,NA,Northern,Sawla/Tuna/Kalba,Digzie,16,0,NR,2
2231,-2.637744,9.618556,NA,Northern,Sawla/Tuna/Kalba,Dikaatama,15,0,NR,1
2232,-2.645476,9.231349,NA,Northern,Sawla/Tuna/Kalba,Dinnee,19,0,NR,1
2233,-2.364173,9.470341,NA,Northern,Sawla/Tuna/Kalba,Disabauri,21,0,NR,1
2234,-2.358156,9.733262,NA,Northern,Sawla/Tuna/Kalba,Domajejele,10,1,NR,1
2235,-2.622291,9.280175,NA,Northern,Sawla/Tuna/Kalba,Domele,10,0,NR,1
2236,-2.561592,9.416838,NA,Northern,Sawla/Tuna/Kalba,Donayiri,11,1,NR,1
2237,-2.512712,9.274488,NA,Northern,Sawla/Tuna/Kalba,Donge Kura,14,0,NR,1
2238,-2.417477,9.493887,NA,Northern,Sawla/Tuna/Kalba,Donguzie Tuna,13,0,NR,2
2239,-2.520475,9.365145,NA,Northern,Sawla/Tuna/Kalba,Dorkodayiri,8,1,NR,1
2240,-2.614082,9.296,NA,Northern,Sawla/Tuna/Kalba,Dorpiirkura,7,0,NR,1
2241,-2.424966,9.307251,NA,Northern,Sawla/Tuna/Kalba,Doumeh No.1,22,1,NR,2
2242,-2.426345,9.315551,NA,Northern,Sawla/Tuna/Kalba,Doumeh No.2,12,1,NR,2
2243,-2.60499,9.598122,NA,Northern,Sawla/Tuna/Kalba,Ebofulah,10,1,NR,1
2244,-2.421948,9.493173,NA,Northern,Sawla/Tuna/Kalba,Ecg,30,0,NR,2
2245,-2.563485,9.382356,NA,Northern,Sawla/Tuna/Kalba,Echiiyiri,6,1,NR,1
2246,-2.662941,9.219931,NA,Northern,Sawla/Tuna/Kalba,Egyilekura,6,1,NR,1
2247,-2.402609,9.55038,NA,Northern,Sawla/Tuna/Kalba,Gando,59,1,NR,2
2248,-2.579079,9.585304,NA,Northern,Sawla/Tuna/Kalba,Gankaa,19,1,NR,1
2249,-2.585372,9.593197,NA,Northern,Sawla/Tuna/Kalba,Gankaa Zongo,14,1,NR,1
2250,-2.646322,9.374738,NA,Northern,Sawla/Tuna/Kalba,Garimayiri,13,1,NR,1
2251,-2.678869,9.6297,NA,Northern,Sawla/Tuna/Kalba,Garkuon,40,0,NR,2
2252,-2.656457,9.302463,NA,Northern,Sawla/Tuna/Kalba,Gbakayiri,27,1,NR,1
2253,-2.6152,9.469748,NA,Northern,Sawla/Tuna/Kalba,Gbalyiri No.1,33,1,NR,1
2254,-2.625357,9.472233,NA,Northern,Sawla/Tuna/Kalba,Gbalyiri No.2,12,1,NR,1
2255,-2.397238,9.713334,NA,Northern,Sawla/Tuna/Kalba,Gbelulpie,71,1,NR,1
2256,-2.411522,9.52193,NA,Northern,Sawla/Tuna/Kalba,Gbongbole,16,0,NR,2
2257,-2.448056,9.412222,NA,Northern,Sawla/Tuna/Kalba,Gbongbonduori,28,1,NR,2
2258,-2.566653,9.400132,NA,Northern,Sawla/Tuna/Kalba,Gbonkoyiri,12,1,NR,1
2259,-2.524838,9.646732,NA,Northern,Sawla/Tuna/Kalba,Gbonkoyiri No.2,34,1,NR,1
2260,-2.424855,9.498172,NA,Northern,Sawla/Tuna/Kalba,Gburdi,67,0,NR,2
2261,-2.571223,9.390077,NA,Northern,Sawla/Tuna/Kalba,Gondo,13,1,NR,1
2262,-2.513365,9.516722,NA,Northern,Sawla/Tuna/Kalba,Gonsi,50,1,NR,2
2263,-2.447105,9.733283,NA,Northern,Sawla/Tuna/Kalba,Goyiri No.1,21,0,NR,1
2264,-2.435781,9.740681,NA,Northern,Sawla/Tuna/Kalba,Goyiri No.2,64,1,NR,1
2265,-2.58876,9.274705,NA,Northern,Sawla/Tuna/Kalba,Gubayiri,9,1,NR,1
2266,-2.372537,9.543125,NA,Northern,Sawla/Tuna/Kalba,Gudoure,6,0,NR,1
2267,-2.47123,9.286071,NA,Northern,Sawla/Tuna/Kalba,Guruyiri No.1,10,0,NR,2
2268,-2.477268,9.2883,NA,Northern,Sawla/Tuna/Kalba,Guruyiri No.2,15,0,NR,2
2269,-2.550834,9.263371,NA,Northern,Sawla/Tuna/Kalba,Herminyiri,17,0,NR,1
2270,-2.52179,9.557185,NA,Northern,Sawla/Tuna/Kalba,Hogieyire,17,0,NR,1
2271,-2.493558,9.343765,NA,Northern,Sawla/Tuna/Kalba,Honeyiri,20,1,NR,1
2272,-2.650932,9.254704,NA,Northern,Sawla/Tuna/Kalba,Jameryiri,8,1,NR,1
2273,-2.65165,9.638603,NA,Northern,Sawla/Tuna/Kalba,Jamil,24,1,NR,1
2274,-2.613379,9.573767,NA,Northern,Sawla/Tuna/Kalba,Jedo,14,1,NR,1
2275,-2.442945,9.337883,NA,Northern,Sawla/Tuna/Kalba,Jembe,11,1,NR,2
2276,-2.646242,9.641379,NA,Northern,Sawla/Tuna/Kalba,Jieyiri,22,1,NR,1
2277,-2.332053,9.46749,NA,Northern,Sawla/Tuna/Kalba,Jinkaa No.1,8,1,NR,1
2278,-2.342392,9.471955,NA,Northern,Sawla/Tuna/Kalba,Jinkaa No.2,17,1,NR,1
2279,-2.35722,9.24389,NA,Northern,Sawla/Tuna/Kalba,Jorbiyiri,18,1,NR,2
2280,-2.535773,9.31709,NA,Northern,Sawla/Tuna/Kalba,Jorkoiyiri,9,1,NR,2
2281,-2.447935,9.301784,NA,Northern,Sawla/Tuna/Kalba,Josentey No.1,18,0,NR,1
2282,-2.455559,9.28904,NA,Northern,Sawla/Tuna/Kalba,Josentey No.2,6,0,NR,2
2283,-2.478415,9.61746,NA,Northern,Sawla/Tuna/Kalba,Jusieyiri,10,1,NR,1
2284,-2.568733,9.36401,NA,Northern,Sawla/Tuna/Kalba,Kaateyiri No.1,21,1,NR,1
2285,-2.569563,9.357215,NA,Northern,Sawla/Tuna/Kalba,Kaateyiri No.2,8,1,NR,1
2286,-2.587672,9.289585,NA,Northern,Sawla/Tuna/Kalba,Kaawie,27,0,NR,1
2287,-2.360777,9.145377,NA,Northern,Sawla/Tuna/Kalba,Kanapee,11,0,NR,1
2288,-2.529668,9.517241,NA,Northern,Sawla/Tuna/Kalba,Kantameh,12,0,NR,2
2289,-2.670102,9.213381,NA,Northern,Sawla/Tuna/Kalba,Kantekura,9,1,NR,1
2290,-2.619187,9.645804,NA,Northern,Sawla/Tuna/Kalba,Keleyiri,15,0,NR,1
2291,-2.639596,9.450538,NA,Northern,Sawla/Tuna/Kalba,Kohiyiri,18,1,NR,2
2292,-2.470738,9.676978,NA,Northern,Sawla/Tuna/Kalba,Kompeini No.1,5,1,NR,2
2293,-2.459455,9.665602,NA,Northern,Sawla/Tuna/Kalba,Kompeini No.2,17,1,NR,2
2294,-2.551305,9.218045,NA,Northern,Sawla/Tuna/Kalba,Konjuma,36,1,NR,1
2295,-2.400372,9.723567,NA,Northern,Sawla/Tuna/Kalba,Koojeoteu,15,1,NR,1
2296,-2.380278,9.348056,NA,Northern,Sawla/Tuna/Kalba,Kordanyina No.1,34,1,NR,1
2297,-2.41992,9.681562,NA,Northern,Sawla/Tuna/Kalba,Korkorimer,13,0,NR,1
2298,-2.563,9.2688,NA,Northern,Sawla/Tuna/Kalba,Korle No.1,21,0,NR,1
2299,-2.536206,9.459508,NA,Northern,Sawla/Tuna/Kalba,Koroduori,15,0,NR,1
2301,-2.69263,9.330168,NA,Northern,Sawla/Tuna/Kalba,Kpal No.2,11,1,NR,1
2302,-2.403757,9.20688,NA,Northern,Sawla/Tuna/Kalba,Kpalnee,7,1,NR,1
2303,-2.399525,9.316792,NA,Northern,Sawla/Tuna/Kalba,Kpefaa Kura,5,1,NR,1
2304,-2.338362,9.679218,NA,Northern,Sawla/Tuna/Kalba,Kpefuri,35,1,NR,1
2305,-2.430168,9.585457,NA,Northern,Sawla/Tuna/Kalba,Kpongeri No.2,21,1,NR,2
2306,-2.576425,9.556512,NA,Northern,Sawla/Tuna/Kalba,Kporibayiri,19,0,NR,1
2307,-2.580569,9.559951,NA,Northern,Sawla/Tuna/Kalba,Kporibayiri Jermeh,27,0,NR,1
2308,-2.598862,9.531532,NA,Northern,Sawla/Tuna/Kalba,Kporiju,16,1,NR,2
2309,-2.624136,9.618166,NA,Northern,Sawla/Tuna/Kalba,Kpotoroteen,6,1,NR,1
2310,-2.659542,9.334439,NA,Northern,Sawla/Tuna/Kalba,Kuku Kura,15,1,NR,1
2311,-2.755197,9.590281,NA,Northern,Sawla/Tuna/Kalba,Kulbi No.1,12,1,NR,1
2313,-2.654135,9.429018,NA,Northern,Sawla/Tuna/Kalba,Kulwon No.1,26,1,NR,1
2314,-2.646657,9.42377,NA,Northern,Sawla/Tuna/Kalba,Kulwon No.2,11,1,NR,1
2315,-2.626462,9.199033,NA,Northern,Sawla/Tuna/Kalba,Kuumana,11,1,NR,1
2316,-2.550303,9.22607,NA,Northern,Sawla/Tuna/Kalba,Laaryouryiri,7,1,NR,1
2317,-2.643522,9.479071,NA,Northern,Sawla/Tuna/Kalba,Lawuriteen,8,1,NR,1
2318,-2.64513,9.278187,NA,Northern,Sawla/Tuna/Kalba,Lemitey,17,1,NR,1
2319,-2.527378,9.456058,NA,Northern,Sawla/Tuna/Kalba,Lorbee,30,0,NR,1
2320,-2.307214,9.230556,NA,Northern,Sawla/Tuna/Kalba,Loteyiri,29,1,NR,2
2321,-2.358198,9.672814,NA,Northern,Sawla/Tuna/Kalba,Malkaryiri No.1,17,1,NR,1
2322,-2.353535,9.675593,NA,Northern,Sawla/Tuna/Kalba,Malkaryiri No.2,42,1,NR,1
2323,-2.630628,9.561398,NA,Northern,Sawla/Tuna/Kalba,Mebaju,12,1,NR,1
2324,-2.559805,9.655763,NA,Northern,Sawla/Tuna/Kalba,Meninkon,31,1,NR,1
2325,-2.417872,9.387875,NA,Northern,Sawla/Tuna/Kalba,Mewaniyiri,52,1,NR,1
2326,-2.507292,9.59713,NA,Northern,Sawla/Tuna/Kalba,Morkpee,23,1,NR,1
2327,-2.431755,9.324249,NA,Northern,Sawla/Tuna/Kalba,Mouna,24,1,NR,2
2328,-2.677447,9.300815,NA,Northern,Sawla/Tuna/Kalba,Mouryiri,6,1,NR,1
2329,-2.386944,9.314167,NA,Northern,Sawla/Tuna/Kalba,Muiyiri,9,1,NR,1
2330,-2.434588,9.73774,NA,Northern,Sawla/Tuna/Kalba,Mwinlari,26,1,NR,1
2331,-2.438661,9.491651,NA,Northern,Sawla/Tuna/Kalba,Naafa,18,0,NR,2
2332,-2.442314,9.501468,NA,Northern,Sawla/Tuna/Kalba,Naafa Jedo,10,0,NR,2
2333,-2.71534,9.561115,NA,Northern,Sawla/Tuna/Kalba,Naamwinyiri No.1,6,0,NR,1
2334,-2.44199,9.67706,NA,Northern,Sawla/Tuna/Kalba,Nabena No.1,9,1,NR,1
2335,-2.431015,9.682932,NA,Northern,Sawla/Tuna/Kalba,Nabena No.2,12,0,NR,1
2336,-2.741918,9.55727,NA,Northern,Sawla/Tuna/Kalba,Nabuolteen,9,1,NR,1
2337,-2.471162,9.512163,NA,Northern,Sawla/Tuna/Kalba,Nahariziri,17,1,NR,2
